	GeneID	Chr	Symbol	NExons	P.Value	FDR
212846	74770	9	Hhatl	13	0.976577651851893	1
184071	244189	7	Gm4972	3	0.976594198326375	1
69207	11838	15	Arc	3	0.9766832891828	1
201300	244723	9	Olfm2	6	0.976684151180398	1
26203	103573	11	Xpo1	26	0.976690997711162	1
101497	19211	19	Pten	9	0.976716428365728	1
160118	231842	5	Amz1	8	0.97673037223533	1
76484	12846	16	Comt	7	0.976749558446992	1
31926	74477	11	4933427D14Rik	19	0.976779547852854	1
73648	11831	15	Aqp6	5	0.976795300970169	1
55744	17755	13	Map1b	7	0.976795459382703	1
97143	50771	18	Atp9b	30	0.976803679744477	1
105865	433408	2	Gm13375	2	0.976803861084014	1
82205	224530	17	Acat3	9	0.97691715795037	1
181966	12877	7	Cpeb1	12	0.976923084795725	1
189844	330695	8	Ctxn1	2	0.976927182749834	1
136181	11303	4	Abca1	50	0.976932018038876	1
172052	58807	6	Slco1c1	15	0.976933481332646	1
63814	13655	14	Egr3	2	0.976962786815018	1
82009	68262	17	Agpat4	9	0.977056736865208	1
126003	14800	3	Gria2	17	0.97707360008865	1
192530	66756	8	Cfap97	4	0.977076127850716	1
19530	27403	10	Abca7	46	0.977083886267418	1
198185	11765	8	Ap1g1	24	0.977089193320373	1
210460	72825	9	Mon1a	6	0.977134283961241	1
44948	75801	12	4930447C04Rik	18	0.977144419407934	1
64700	22380	14	Wbp4	10	0.977176474337963	1
149926	231125	5	Zfyve28	13	0.977182643126006	1
81613	66467	17	Gtf2h5	3	0.977224898478605	1
48195	13424	12	Dync1h1	77	0.977244134193234	1
179617	100502828	7	Gm19401	2	0.977267026097455	1
108280	227715	2	Exosc2	9	0.97726930392898	1
73245	12455	15	Ccnt1	9	0.977285455087252	1
14573	67418	10	Ppil4	13	0.977297296800491	1
204512	330938	9	Dixdc1	20	0.977303926333237	1
130123	20661	3	Sort1	20	0.977324672541741	1
78945	320007	16	Sidt1	26	0.977357428487784	1
210662	13138	9	Dag1	4	0.97737443218876	1
136851	22696	4	Zfp37	4	0.977416013448822	1
205657	18007	9	Neo1	29	0.977418469875782	1
8720	20668	1	Sox13	14	0.977448861209414	1
28440	216739	11	Acsl6	24	0.977449729874298	1
106476	18146	2	Npdc1	9	0.977459611165419	1
158665	16885	5	Limk1	16	0.977501530892589	1
100253	207521	19	Dtx4	9	0.97750926655291	1
214501	72404	X	Wdr44	20	0.977528275380661	1
35530	217124	11	Ppp1r9b	10	0.977534501852361	1
102603	18648	19	Pgam1	4	0.977588638586982	1
117609	228602	2	4930402H24Rik	37	0.97761012443961	1
157137	654470	5	Tctn1	14	0.977615473048037	1
91097	260409	17	Cdc42ep3	2	0.977637696396267	1
122266	71532	2	Fam217b	4	0.977676497988208	1
109599	24136	2	Zeb2	10	0.977676720364953	1
109695	16574	2	Kif5c	26	0.9777002909997	1
130051	109674	3	Ampd2	18	0.977709751163188	1
11757	107652	1	Uap1	11	0.977745277019525	1
131102	99526	3	Usp53	16	0.977754875064545	1
59225	66487	14	Smim4	2	0.977770322830793	1
174754	67369	7	Qpctl	7	0.977845157419295	1
35553	18604	11	Pdk2	11	0.977871177552566	1
133300	242297	4	Fam110b	3	0.977915262628135	1
25255	64660	11	Mrps24	4	0.977943270955692	1
10060	98685	1	Trmt1l	15	0.977955418243701	1
2780	627872	1	Dnah7a	66	0.977957295630738	1
130178	53883	3	Celsr2	34	0.97796467899426	1
181557	17293	7	Mesp2	2	0.977975993141745	1
143461	100503101	4	Gm17388	2	0.977976575037357	1
159028	20022	5	Polr2j	4	0.977990191257268	1
124867	69639	3	Exosc8	11	0.97801348808909	1
189993	384783	8	Irs2	2	0.97802163430297	1
93870	17184	18	Matr3	15	0.978048794963221	1
140930	29871	4	Scmh1	17	0.978049359924186	1
158330	67902	5	Sumf2	9	0.978074856326372	1
3032	73467	1	1700066M21Rik	2	0.978091283288623	1
44079	217588	12	Mbip	9	0.978112849878896	1
151674	666938	5	Bend4	5	0.978179215327178	1
148313	231042	5	Nupl2	7	0.978208006613012	1
32740	22627	11	Ywhae	6	0.978234997867201	1
134773	76992	4	Fam219aos	3	0.978266855797227	1
205322	74211	9	1700017B05Rik	3	0.978299984166593	1
84511	240057	17	Syngap1	20	0.978340302013746	1
146421	67513	4	Faap20	3	0.97834888386834	1
196776	14894	8	Cfap20	6	0.978354228723761	1
17919	216028	10	Lrrtm3	3	0.978405549209425	1
114675	14617	2	Gjd2	2	0.978408219581122	1
198138	244646	8	Pkd1l3	34	0.978453697422133	1
52526	100040421	13	Gm2762	8	0.978472032051978	1
90703	66310	17	Dpy30	6	0.97848462655885	1
33349	22248	11	Unc119	5	0.978488571483149	1
44794	59036	12	Dact1	4	0.978523701089389	1
55806	20365	13	Serf1	3	0.978524572432312	1
193982	84036	8	Kcnn1	10	0.978551477302866	1
100391	107272	19	Psat1	10	0.978575570209352	1
36502	268480	11	Rapgefl1	15	0.978576711017028	1
176922	52150	7	Kcnk6	3	0.978594242639601	1
61826	239102	14	Zfhx2	10	0.97859719922981	1
162784	66144	6	Atp6v1f	2	0.978632446677149	1
86972	53761	17	Prrc2a	31	0.97863837784477	1
8134	226414	1	Dars	17	0.978645984509451	1
130857	99887	3	Tmem56	8	0.978670499612375	1
26850	110257	11	Hba-a2	3	0.978699441221918	1
33380	52466	11	Slc46a1	5	0.978746216555314	1
16566	76563	10	Qrsl1	11	0.978854880424926	1
161838	330260	6	Pon2	9	0.978907433797386	1
162550	14763	6	Gpr37	2	0.978911600601837	1
218855	78134	X	Lpar4	3	0.978920795437009	1
178639	668661	7	2410002F23Rik	6	0.978938008275162	1
37142	11975	11	Atp6v0a1	22	0.978943174405073	1
59695	319955	14	Ercc6	21	0.978960252727157	1
12765	545391	1	Gm16432	8	0.97899149786494	1
195386	212528	8	Trmt1	17	0.978993334505808	1
164867	18025	6	Nfe2l3	4	0.979016007910898	1
214986	22209	X	Ube2a	6	0.979034288167574	1
149950	19822	5	Rnf4	8	0.979049438609509	1
168863	101314	6	Brk1	3	0.979060519317847	1
126262	50754	3	Fbxw7	16	0.979067272142343	1
22727	19279	10	Ptprr	16	0.979068566104673	1
155004	675812	5	Zfp605	5	0.979070814126433	1
196581	67914	8	Coq9	9	0.979070959086406	1
180240	14453	7	Gas2	8	0.979077452223671	1
182517	109264	7	Me3	14	0.97910290382142	1
179422	18220	7	Nucb1	13	0.979120192288275	1
81628	68842	17	Tulp4	15	0.979122360625695	1
193731	19704	8	Upf1	24	0.979128170335648	1
187771	22276	7	Uros	10	0.979181775412633	1
157065	231717	5	Fam109a	4	0.979242753959689	1
192986	12725	8	Clcn3	15	0.979265671352754	1
139045	77809	4	Lrrc42	8	0.979287701361535	1
184554	19347	7	Dennd5a	23	0.979332781444916	1
63441	19229	14	Ptk2b	31	0.979358639365717	1
65479	223254	14	Farp1	27	0.979359480450583	1
88494	21770	17	Ppp2r5d	15	0.97936062437865	1
192405	102294	8	Cyp4v3	11	0.97941365481248	1
84605	224640	17	Lemd2	9	0.979451483492746	1
71083	20286	15	Zc3h7b	23	0.979456168178787	1
206474	69606	9	Mtfmt	9	0.979459290992831	1
145709	269604	4	Gpr157	4	0.979486148764525	1
169772	94044	6	Bcl2l13	7	0.979490517006501	1
20182	16467	10	Atcay	13	0.979510161376158	1
11628	80914	1	Uck2	7	0.979529921066323	1
104411	14585	19	Gfra1	10	0.979552607345472	1
27866	12330	11	Canx	15	0.979553661742401	1
146449	14403	4	Gabrd	9	0.979608083580124	1
42352	19878	12	Rock2	33	0.979627999036756	1
178123	19777	7	Uri1	11	0.979639949420222	1
32960	216961	11	Coro6	11	0.97965224322806	1
206376	74388	9	Dpp8	21	0.97965496404734	1
77465	239796	16	Mb21d2	2	0.979689273586763	1
197460	70796	8	Zdhhc1	14	0.97970699942652	1
128090	53970	3	Rfx5	9	0.979745956124547	1
103254	76055	19	Mgea5	16	0.979754203055687	1
32123	195018	11	Zzef1	55	0.979780058710344	1
73982	11479	15	Acvr1b	9	0.97978013174711	1
87853	94185	17	Tnfrsf21	6	0.979801535497123	1
83576	20974	17	Syngr3	4	0.979832271888185	1
94060	67843	18	Slc35a4	3	0.979846275972947	1
149506	72195	5	Supt7l	5	0.979847648470232	1
210658	12217	9	Bsn	12	0.979859720165178	1
106386	78217	2	Tmem210	4	0.97986720747198	1
40565	21858	11	Timp2	5	0.979876268336497	1
111139	68795	2	Ubr3	39	0.979878230432169	1
47301	320351	12	Tmem251	2	0.979898764864441	1
39212	72386	11	2610035D17Rik	3	0.979908946524722	1
133032	75540	3	Fpgt	4	0.979920168697344	1
10778	11899	1	Astn1	23	0.979923967604443	1
135207	100213	4	Rusc2	13	0.979927580541493	1
126666	73940	3	Hapln2	7	0.979938011287723	1
134588	15502	4	Dnaja1	10	0.979944782796448	1
53250	67269	13	Agtpbp1	27	0.979962602859521	1
77953	100502698	16	Rubcn	20	0.979967483786259	1
122950	18389	2	Oprl1	7	0.980002314788555	1
175640	13875	7	Erf	4	0.980016122345946	1
220968	211612	X	Ptchd1	3	0.980023259847045	1
183070	67800	7	Dgat2	8	0.980023291537595	1
170553	319352	6	Pianp	8	0.980037325658151	1
133113	69207	3	Srsf11	13	0.980045063229541	1
111049	320720	2	Fastkd1	14	0.980050316240728	1
169118	17193	6	Mbd4	8	0.980054936509107	1
163647	192196	6	Luc7l2	10	0.980055281968334	1
18578	64451	10	Dip2a	38	0.980130126782652	1
190426	272465	8	Tmem255b	9	0.980134372385902	1
103380	100503392	19	4833438C02Rik	2	0.980143994608494	1
145465	230908	4	Tardbp	6	0.980165477145607	1
