	KOSD5	KOHC5	logFC	logCPM	F	PValue	FDR
ENSMUSG00000050947	4400	4617	-0.0591854316570452	6.84953502048909	4.94855178158675	0.0327273420207566	0.0800681757104413
ENSMUSG00000036368	207.2	237.4	-0.16704398647441	2.52629784482851	4.94783642340284	0.0327391379634708	0.0800846569036903
ENSMUSG00000042641	152.6	130.4	0.234559425715357	1.91575499658688	4.94506685174983	0.0327848508744749	0.0801840859845586
ENSMUSG00000040760	5960	5778.4	0.0644812117050283	7.21179003118225	4.94409539648998	0.0328009016810081	0.0802109489739961
ENSMUSG00000031570	1245.8	1155.2	0.115914931833724	4.89795617518047	4.9397719391191	0.0328724400874482	0.0803734714464346
ENSMUSG00000039382	420	392.4	0.110328258468831	3.39541739494505	4.93748863230493	0.0329102898693471	0.0804504315021858
ENSMUSG00000003039	3715	4046.8	-0.110947428321146	6.63151977066796	4.93726006497632	0.0329140813954233	0.0804504315021858
ENSMUSG00000075271	267.2	240.6	0.184242385644261	2.69101228736688	4.93632984387009	0.03292951704358	0.0804724089283145
ENSMUSG00000034157	2173	2313.4	-0.0835873411365458	5.83515095068096	4.93610551875935	0.0329332405734804	0.0804724089283145
ENSMUSG00000113429	82.6	95.8	-0.212037424097264	1.21930664894386	6.09671025305788	0.032949076086782	0.0804986765515778
ENSMUSG00000097343	17	22.6	-0.446466915316825	-0.739995363588745	6.76711224126469	0.0329562836420038	0.0805038601495798
ENSMUSG00000059689	244.8	270.2	-0.124739418198068	2.75544915803462	6.04021280063401	0.0330292796132457	0.0806697218018927
ENSMUSG00000032077	438	478.4	-0.113754253457241	3.58532845147595	4.9297924506218	0.033038219163393	0.0806791069326362
ENSMUSG00000038936	2710	2943	-0.104905160111272	6.11821591766577	4.92260640261748	0.0331581602178698	0.0809595122765171
ENSMUSG00000049571	260.2	295.4	-0.210521132618032	2.92527265673414	4.92186275665431	0.0331705994641488	0.0809773934173367
ENSMUSG00000097960	97.6	113.8	-0.251233837696739	1.56601709829692	4.92154498880167	0.0331759164441777	0.0809778845635912
ENSMUSG00000039539	137.8	168.4	-0.28614936707502	1.96209389888093	4.92060304763074	0.033208090068396	0.081033018142607
ENSMUSG00000030629	2180.4	2069	0.0990173357013293	5.74860102347651	4.91958436826878	0.0332087427311322	0.081033018142607
ENSMUSG00000019945	39	48.6	-0.30174225629488	0.302293446531222	6.5621124835159	0.033275152254133	0.0811825500972057
ENSMUSG00000096938	41	32	0.329482968014357	0.000175029054712408	5.09344187939403	0.033367465321713	0.0813952240063792
ENSMUSG00000061536	1191	1129.8	0.0865074398155206	4.88647554515295	4.9094255670397	0.0333793998487896	0.0814117904786579
ENSMUSG00000037894	295.4	333.8	-0.15179212074559	3.02046631983886	4.90631488445227	0.0334318478175497	0.0815254174877737
ENSMUSG00000025348	709.6	631.6	0.158191237702996	4.14841235707828	4.90605175469909	0.0334362884787811	0.0815254174877737
ENSMUSG00000048215	6.2	3.4	0.908650506308381	-2.53887993773441	14.7654945549804	0.033442569347204	0.0815281734478503
ENSMUSG00000010721	928.6	1002.8	-0.0927776998012416	4.61123576174124	4.90257093789668	0.0334950926517182	0.0816436436070291
ENSMUSG00000027605	926.6	978.8	-0.0754757539643792	4.63592291519096	4.901847826626	0.0335073229348239	0.0816608798668711
ENSMUSG00000052752	1621	1725	-0.0993198789380418	5.42914323288869	4.90042045782955	0.0335314789708405	0.0817071706633981
ENSMUSG00000022494	3705.8	3541.2	0.0808794722223728	6.52316120132124	4.89996698074944	0.0335391573673622	0.0817133018266856
ENSMUSG00000030753	1259.4	1340	-0.0804607060660785	5.06039089992272	4.89773991171112	0.0335768946512382	0.0817926539603646
ENSMUSG00000031202	1405.6	1340.4	0.0849181515373408	5.107107306742	4.89691891645285	0.0335908179922098	0.0818139803044606
ENSMUSG00000025375	14352.6	15116.4	-0.0679782408639191	8.58451224096264	4.89417552266316	0.0336373893499447	0.0819117016549374
ENSMUSG00000053093	471.2	413	0.2124014319478	3.60066948742527	4.89717020746784	0.0336412895608534	0.0819117016549374
ENSMUSG00000024640	2220	2109.6	0.0906763862632245	5.7857692790589	4.89206934403689	0.0336731914235998	0.0819767682319534
ENSMUSG00000075229	226.8	261	-0.163650445387693	2.66546530705767	4.89007749175484	0.0337070884958227	0.0820466713517418
ENSMUSG00000018199	9228.6	8576.6	0.137682951780169	7.7732798919675	4.89885681451584	0.0337282240730004	0.0820854949033708
ENSMUSG00000062785	8455	9221	-0.11306107209109	7.84486913488123	4.88783404230871	0.0337594619472775	0.0821488890335827
ENSMUSG00000039901	698.2	754	-0.118103299169637	4.23941722909899	4.8856595471103	0.0337824058786238	0.0821920846376784
ENSMUSG00000020572	2301	2501	-0.10184468654176	5.91829051960802	4.88378642416015	0.0338143945949476	0.0822572694088559
ENSMUSG00000034216	3883	3635.2	0.104754464119137	6.55271920102008	4.88294414763742	0.0338287895866657	0.0822796420355457
ENSMUSG00000003344	2969.6	3164.4	-0.0839158927998224	6.29520956394753	4.88073690841443	0.0338665444182703	0.0823588157315718
ENSMUSG00000108897	21	29.8	-0.451945670454034	-0.262511183073323	4.8802384413159	0.033875077083478	0.0823669116980604
ENSMUSG00000036315	265	243	0.160856856238759	2.72145929645963	4.8793009953556	0.0338911304823309	0.0823827187626057
ENSMUSG00000020334	75.4	88	-0.220757761711814	1.14174433202479	6.885088117717	0.0338919871490358	0.0823827187626057
