	WTSD5	WTHC5	logFC	logCPM	F	PValue	FDR
ENSMUSG00000103081	41.6	47.2	-0.167885960072822	0.321479335979245	0.925347354474838	0.342741922483077	0.49075186711756
ENSMUSG00000004677	5190.4	4974.4	0.054224753542774	6.96957482533483	0.92481176283567	0.342911397786015	0.490924289038908
ENSMUSG00000026455	747.4	730.4	0.0415153082763369	4.24859279072924	0.92463878952178	0.342924370705869	0.490924289038908
ENSMUSG00000071256	50.2	46	0.132255040019188	0.335357693856763	1.75175482633226	0.343037726382265	0.491042156891379
ENSMUSG00000035964	6310.2	6274.4	0.0292902313668393	7.34580154296837	0.923787021072071	0.343143870704521	0.491149681651312
ENSMUSG00000023050	3877.8	3989.2	-0.0317818191780819	6.64111109849277	0.923347961032827	0.343257092232986	0.491267315818801
ENSMUSG00000031858	1296.6	1241.4	0.0504058063189655	4.9828272624709	0.923030354829227	0.343339026463148	0.491340154586852
ENSMUSG00000039246	100.6	108.2	-0.0971274416257622	1.52965126887601	0.922814139713294	0.343394819927248	0.49137557445565
ENSMUSG00000024581	8527.4	8748	-0.0242903445377693	7.78810271001182	0.922034992099786	0.343595980316823	0.49158156656888
ENSMUSG00000032564	2807.6	2730.2	0.0565147028370258	6.14179007932932	0.922015992139885	0.343600887770427	0.49158156656888
ENSMUSG00000038718	405.4	438.2	-0.129440205825648	3.47835280437419	0.923345704354274	0.343687393854572	0.491660890856215
ENSMUSG00000073125	104	31.2	0.883151388055431	0.446541214300007	0.927186412814373	0.343773171224165	0.491739158440928
ENSMUSG00000023075	2480	2430.8	0.0447132953834293	5.98647856985971	0.920581011941136	0.343971806687121	0.491954882149169
ENSMUSG00000044676	774	748	0.0432556263978391	4.26953783947955	0.920525597288182	0.3439861416152	0.491954882149169
ENSMUSG00000060579	25.8	22.8	0.186723755110084	-0.668320996700945	1.59239962452982	0.344179392208647	0.49218679187557
ENSMUSG00000057378	900.8	801.8	0.145659740136024	4.36062814638191	0.922945130305533	0.344368045010282	0.492412085317774
ENSMUSG00000097904	20	17.4	0.214227154505894	-1.00450128641993	1.54335318338074	0.344438610174418	0.492447913372198
ENSMUSG00000022912	482.6	504.4	-0.0610705662917115	3.68707509270344	0.91866595135298	0.344467685255466	0.492447913372198
ENSMUSG00000019952	203	195.2	0.0637416287744747	2.28027530411783	0.918593624324425	0.344486432798682	0.492447913372198
ENSMUSG00000032925	1249.2	1347.4	-0.0923600479478512	5.10282184166646	0.919916227070528	0.344604087428418	0.492571618196174
ENSMUSG00000029176	1922.6	1987.8	-0.0390664027587705	5.66274777565081	0.91727602130996	0.344828210692396	0.492847471516925
ENSMUSG00000003283	105.6	97.6	0.107924401409847	1.40673262050767	0.916982579564534	0.344904391784958	0.49289186269084
ENSMUSG00000022494	3716.6	3640	0.0364507448645166	6.52316120132124	0.916817284428493	0.344947314739564	0.49289186269084
ENSMUSG00000024537	276.4	293.2	-0.0683115720119374	2.89715284951681	0.916728962853273	0.34497025265644	0.49289186269084
ENSMUSG00000066043	2179.2	1820	0.15281243246002	5.57290824821721	0.92144943370885	0.34498382378873	0.49289186269084
ENSMUSG00000048921	205.2	215	-0.0719461764565062	2.48033104672555	0.91645746201591	0.345040777173466	0.492928742046822
ENSMUSG00000029635	904.8	880.2	0.0393425973478822	4.50454339656998	0.915580089717446	0.345268818757207	0.493210011019568
ENSMUSG00000024925	611.8	596.8	0.0773210426820624	3.99116897755933	0.915316991883954	0.345337242482969	0.493233647356634
ENSMUSG00000085135	20.6	23.4	-0.194099043403577	-0.579418180653806	1.16333042136016	0.345383306474515	0.493233647356634
ENSMUSG00000027489	1268	1310.2	-0.0390859334651981	5.03538625038644	0.915025959545047	0.345412953091078	0.493233647356634
ENSMUSG00000098488	25.2	23.2	0.187485055724025	-0.674139414740574	1.9005718507927	0.345437642635322	0.493233647356634
ENSMUSG00000022450	1867.2	1950	-0.0533031306236114	5.59272635817506	0.914917532018455	0.34544116587249	0.493233647356634
ENSMUSG00000014668	1301.4	1329.6	-0.0432403899447464	5.04660965762158	0.914442858407145	0.345564713415513	0.493365549621553
ENSMUSG00000026283	438	451.6	-0.0606896826030176	3.48714812170384	0.914193849544986	0.345629549757454	0.493413613195413
ENSMUSG00000100201	25.4	21.8	0.188884951314618	-0.753749452611859	1.21047224651178	0.345686192326955	0.493449971894974
ENSMUSG00000080981	140.6	156	-0.140833442877865	1.95916524528796	0.914025208452824	0.345721391720992	0.493455717723317
ENSMUSG00000029681	3661.2	3598.6	0.0352592526506134	6.53664701702546	0.912982416195843	0.345945221503311	0.493699782064207
ENSMUSG00000077637	127	114.4	0.111024090022196	1.59876862085035	0.912945813872053	0.345954765471994	0.493699782064207
ENSMUSG00000002996	440	458.4	-0.0614338765880736	3.50932311041775	0.91252312684373	0.346065006661126	0.493798999408441
ENSMUSG00000002496	5165.2	5335.2	-0.0506053794318307	7.06073799011035	0.91244003881721	0.346086682635494	0.493798999408441
ENSMUSG00000017466	8089.4	8362	-0.038338709096121	7.71751158975871	0.912219262836854	0.346144287775964	0.493799209745134
ENSMUSG00000039262	22961	23883.6	-0.0508802107500011	9.20191184044998	0.912169994904213	0.346157144646984	0.493799209745134
ENSMUSG00000033222	17.8	20.8	-0.20839981178938	-0.83644928061188	3.44516302179917	0.346180417622197	0.493799209745134
ENSMUSG00000021823	493.6	508	-0.0709403547649798	3.66580051256405	0.911764460674054	0.346262997388884	0.493837024858108
ENSMUSG00000024120	1543	1601.8	-0.0364812136770945	5.36241576660626	0.91174022590144	0.346269324587791	0.493837024858108
ENSMUSG00000030188	156.4	146.2	0.109596231843025	2.00461213417705	0.910819753218826	0.346509760215353	0.494135404905299
ENSMUSG00000023118	5652	5791.2	-0.0291329242803717	7.18618389486432	0.910482010360662	0.346598039942183	0.494216770943592
ENSMUSG00000023852	2045.4	1998.8	0.0401886126007137	5.6699524510762	0.91032321401539	0.346639557190519	0.494231449357658
ENSMUSG00000040842	957.2	1002	-0.0436800565569167	4.64860312531493	0.909484851144492	0.346858861723099	0.494499587698363
ENSMUSG00000044916	264	253.8	0.0630213321645184	2.64860574169094	0.909112567140129	0.346956308216739	0.494593966387136
ENSMUSG00000030031	257	276.8	-0.0748996484627537	2.8137240850737	0.907757935634538	0.347311209313431	0.495055302316281
ENSMUSG00000032171	1827.6	1767.6	0.0380023295208652	5.50098200182622	0.905698849968199	0.347851640801371	0.495742239788902
ENSMUSG00000034471	1055.2	1114.8	-0.0575494039224703	4.82574814216446	0.905683116782071	0.347855774675301	0.495742239788902
ENSMUSG00000035572	380.4	369	0.0472163977413353	3.25513838131089	0.92858928737353	0.348031048134204	0.495947376747959
ENSMUSG00000022529	435	425	0.0512980046668769	3.45022670364725	0.90437320147733	0.348200193679898	0.496143745229914
ENSMUSG00000103707	137.6	125.4	0.133698027550212	1.7903164690755	0.904203260759708	0.348265679804085	0.496192389344631
ENSMUSG00000044018	225.6	237.2	-0.0615070813235469	2.60246177733157	0.903933362586024	0.348315948203638	0.496219345163837
ENSMUSG00000032311	64.4	71	-0.112442195840518	0.748521238751534	1.59124368862979	0.348350706256819	0.49622420170439
ENSMUSG00000000028	61.2	66	-0.115562565814488	0.768676251603006	1.08109406046589	0.348473093801325	0.496309470533179
ENSMUSG00000034810	242.6	263.6	-0.10220492687202	2.65555122643814	0.903335889567828	0.348473274085902	0.496309470533179
ENSMUSG00000024030	2434	2346.4	0.0526063688731481	5.92432644922474	0.902987845965933	0.348564966223685	0.496395398142574
ENSMUSG00000062691	279.4	260.2	0.088151976102433	2.7493784334828	0.902637348736719	0.348657338803817	0.496441145420058
ENSMUSG00000017485	4875.6	5058.6	-0.0327155372309004	7.01418081182534	0.90251029527782	0.348690831831211	0.496441145420058
