	WTRS2	WTHC7	logFC	logCPM	F	PValue	FDR
ENSMUSG00000017692	2233.8	1483.2	0.60799109535946	5.58719589312638	73.1040301612868	5.39494246915481e-10	6.55364295934972e-08
ENSMUSG00000046417	401.8	514.4	-0.356101412676865	3.59173031578553	72.2282110048749	5.42376162533839e-10	6.55364295934972e-08
ENSMUSG00000018417	955	1419.8	-0.585875932552962	4.9106448721282	72.3928474162707	5.52998161933613e-10	6.63136962518725e-08
ENSMUSG00000020604	104	164.8	-0.668608828979989	1.70037559802925	71.9805364469142	5.64907682933653e-10	6.72325091214796e-08
ENSMUSG00000021948	381.4	262.2	0.536368721145876	3.04411356100384	71.7770461024456	5.84160514118521e-10	6.90050505819557e-08
ENSMUSG00000035392	4411.6	5368.8	-0.295630220819507	6.94121256584017	71.6946458241192	5.92153049245069e-10	6.93460747322175e-08
ENSMUSG00000020513	165	101	0.708570383150027	1.73203507813081	71.6573421211836	5.95809347626608e-10	6.93460747322175e-08
ENSMUSG00000046287	419.8	588.2	-0.485968903598424	3.68088813240207	71.5125523639274	6.10228692445671e-10	7.01483423657412e-08
ENSMUSG00000009035	5270	6318.4	-0.273476027401294	7.18198946258288	71.4993121813434	6.11565559825149e-10	7.01483423657412e-08
ENSMUSG00000026482	3900.4	3091.8	0.322494685033827	6.41470335371784	71.1850019791276	6.44228767555332e-10	7.3363288932614e-08
ENSMUSG00000020577	6036.4	4916.4	0.311940859310885	7.17777352719119	70.1945838024985	7.59792922208982e-10	8.59054440403284e-08
ENSMUSG00000021071	18233.2	14738.4	0.315309967509627	8.72910529211224	70.1033829037185	7.71486134778219e-10	8.66088938113789e-08
ENSMUSG00000034255	480.2	662.8	-0.483227000051929	3.78306741384184	69.9956896408182	7.85539538581479e-10	8.75655306775087e-08
ENSMUSG00000019726	2123	1548.8	0.439469147477546	5.54019907813792	69.7272255084221	8.21765167678818e-10	9.09630827915246e-08
ENSMUSG00000035126	712	522.4	0.459115362169268	3.96086333119251	69.5261907898063	8.50047648812041e-10	9.34403071739292e-08
ENSMUSG00000001768	796.6	590.8	0.428805042590092	4.26881662245742	69.3499377086379	8.75691402698667e-10	9.55953049194289e-08
ENSMUSG00000024883	4354.4	3422.2	0.338936052762426	6.66865737878441	69.1154684945016	9.11080893985812e-10	9.8777393636311e-08
ENSMUSG00000027248	7320.4	5529.8	0.413192572278339	7.39267561581315	68.9823481479425	9.31844063315636e-10	1.00341222300838e-07
ENSMUSG00000022678	439.8	319.2	0.448317801299682	3.35861137240364	68.902722371421	9.4450233449972e-10	1.01017077383757e-07
ENSMUSG00000021037	4342.6	3525	0.306126427540885	6.67157417866019	68.6868290719229	9.79747409970596e-10	1.04083367465937e-07
ENSMUSG00000050211	213.4	431.2	-1.03973876258862	2.94087018576527	69.9426372804329	9.8846973034479e-10	1.04309915744185e-07
ENSMUSG00000105843	536.4	197.2	1.48880117516889	3.67810733212147	75.0041568591639	1.00449942456885e-09	1.05299479413909e-07
ENSMUSG00000040605	8	22.8	-1.52394615241005	-1.21597654013699	114.863731896481	1.08542038116255e-09	1.13033679035671e-07
ENSMUSG00000040488	3733.8	4731	-0.345551754073393	6.71480062380386	67.7899803941872	1.14176233697981e-09	1.18123895634336e-07
