	KORS2	KOHC7	logFC	logCPM	F	PValue	FDR
ENSMUSG00000044017	1001.2	868.4	0.21963500183572	4.53832451598001	8.55961522440265	0.0060495944694628	0.0256654180340777
ENSMUSG00000019734	118.2	97.4	0.279188725057944	1.69217379505871	8.55125228632109	0.00605074126786947	0.0256654180340777
ENSMUSG00000009535	1650.4	1765.6	-0.0993256536228858	5.40974867303166	8.55110587047427	0.00605113021057413	0.0256654180340777
ENSMUSG00000025993	142.8	165.4	-0.22340571116887	1.93648557146404	8.54439809129104	0.00606897772112544	0.025734221362897
ENSMUSG00000036594	23.8	34.2	-0.513950120208188	-0.517738603082576	8.54045371192465	0.00607949896941721	0.0257719306874411
ENSMUSG00000038208	758	682.8	0.149998586584583	4.197144214389	8.53886775908035	0.00608373485963962	0.0257829823542799
ENSMUSG00000103567	382.2	442	-0.198789320488813	3.40552497739707	8.53732821038421	0.00608784983933725	0.0257894482149768
ENSMUSG00000022761	4035.4	3856.6	0.0673509236551834	6.67638643479432	8.53707794381232	0.0060885190460148	0.0257894482149768
ENSMUSG00000033382	1615.2	1505.2	0.0969714620755057	5.33268863709428	8.53132520150009	0.00610392351940922	0.0258477810028701
ENSMUSG00000062960	497.4	587.2	-0.262751253904234	3.70195871034787	8.533906843318	0.00611576807904471	0.0258910117473118
ENSMUSG00000042359	3144.8	2930.8	0.0977119014510073	6.2741770508624	8.52256456801751	0.00612746280393097	0.0259335852201666
ENSMUSG00000063594	33.4	46.4	-0.511849436646456	0.117030321230536	8.51814008417784	0.0061393881254914	0.0259771116381725
ENSMUSG00000052423	1666.6	1810.2	-0.110845127531806	5.43942083993852	8.50377976946791	0.00617826542643311	0.0261346241141127
ENSMUSG00000021916	536.4	490.4	0.117480413637601	3.69803036509708	8.50210684334394	0.00618281164786563	0.0261468676393441
ENSMUSG00000031754	1030.2	948.2	0.113605703242093	4.66581783583321	8.50091517808318	0.00618605221939082	0.0261535845568209
ENSMUSG00000027540	1586.8	1437.8	0.135783790733398	5.35799078339702	8.49430014142975	0.00620407408506612	0.026222774016692
ENSMUSG00000022092	502.6	557.8	-0.161729984558204	3.72828179561426	8.49076562801602	0.00621372652732555	0.0262565609185895
ENSMUSG00000017210	6068.2	5663.8	0.0995424923701293	7.23428832026327	8.48994527353326	0.00621596914616656	0.0262590273858208
ENSMUSG00000056481	293.2	350.2	-0.256913864077216	2.91067254415418	8.48210195351367	0.00623745448748172	0.0263427606943298
ENSMUSG00000001507	761	856.6	-0.173540333302703	4.37393599413772	8.47983600991276	0.00624367645421327	0.0263569505530259
ENSMUSG00000028527	851	949	-0.161780325066831	4.63079946951931	8.47958307196595	0.00624437139987307	0.0263569505530259
ENSMUSG00000022855	2344.8	2225	0.0741412270991921	5.85950102215361	8.47905967775681	0.0062458096862973	0.0263569505530259
