	logFC	logCPM	LR	PValue	FDR
27399	-0.0403622546611444	8.05320914696803	0.750080328767989	0.386450799401036	0.981062390639285
50723	0.130945928527084	1.34865528603618	0.749675575075297	0.386578965059043	0.981062390639285
16467	-0.0358570457512815	8.08098373116596	0.749634375671453	0.38659201428569	0.981062390639285
14800	-0.0398642531150069	9.55857966473115	0.74954584133874	0.386620058187449	0.981062390639285
14768	-0.0327224210583542	7.56248383899163	0.749424344663002	0.386658547871142	0.981062390639285
223989	0.0409398998376611	7.50936862648103	0.749285441797717	0.386702558456989	0.981062390639285
100042561	-0.0803984718250938	3.6647308149548	0.749217686219504	0.386724029017527	0.981062390639285
217666	0.0599807582715441	4.01576140869124	0.749109959348997	0.38675816927989	0.981062390639285
22640	-0.0965468382793343	2.70081087829688	0.748919393598456	0.386818572943846	0.981062390639285
27041	0.0485082978553103	5.60303759506759	0.748903810299671	0.386823512979645	0.981062390639285
68092	-0.0450174289391381	5.68642427353267	0.748865075167723	0.386835792729235	0.981062390639285
71924	0.140866384637082	1.30567719026664	0.748675795135664	0.386895805971421	0.981062390639285
666311	0.0619223121226152	3.68678757681485	0.748089930089419	0.387081644807625	0.981062390639285
66488	-0.0684845306830366	4.11603676272414	0.748086574302489	0.387082709643628	0.981062390639285
20534	-0.064349377436534	5.0023645743466	0.747919671123723	0.387135675519124	0.981062390639285
104725	0.082735922401301	3.88393328675698	0.747836226919004	0.387162159986821	0.981062390639285
71254	-0.143177699460557	1.69546840493505	0.747638595944434	0.387224896648976	0.981062390639285
78552	-0.154118360604814	1.73953219846536	0.747635144193742	0.387225992513449	0.981062390639285
54646	0.0537707600139951	4.78951859813488	0.747543571306292	0.387255066758933	0.981062390639285
116870	0.047839956272143	5.57071298141492	0.747366765114702	0.387311211248077	0.981062390639285
210035	-0.108353511373314	2.3159188315599	0.747155142893812	0.387378426763931	0.981062390639285
234413	0.0909888112358506	2.53604007926932	0.747134607691062	0.387384950046657	0.981062390639285
20423	-0.149312597929192	1.26925098787506	0.747129445637137	0.387386589866993	0.981062390639285
225363	-0.0395175438338225	6.52983478826687	0.74705962914944	0.387408769316599	0.981062390639285
20603	-0.0383364800300196	6.27393074860957	0.746557465697109	0.38756835102937	0.981062390639285
21961	-0.0538103982765334	5.83954842861685	0.74612486014029	0.387705903230797	0.981062390639285
66307	0.0621072492764789	3.66520161961141	0.745859623340506	0.387790272936749	0.981062390639285
68427	0.0585905792185606	4.49644911732419	0.745738792692887	0.387828716883796	0.981062390639285
68576	0.0684974555768476	4.47019599040185	0.745661494086859	0.38785331335963	0.981062390639285
68682	-0.0441233203868376	5.61118369025648	0.745632482450821	0.387862545458907	0.981062390639285
53415	0.0908345088270248	3.26296763592366	0.745330266402677	0.387958735468855	0.981062390639285
268780	0.137327084137479	1.99669695020771	0.744923314822962	0.388088314728815	0.981062390639285
329384	-0.13104171486114	1.44332134982541	0.744715773878434	0.388154422545682	0.981062390639285
66294	-0.0662698175881968	4.23437404181252	0.74454459449438	0.388208960245601	0.981062390639285
12287	0.0401232108899679	7.28010556084106	0.744375046124208	0.388262989087527	0.981062390639285
103012	0.0499780503032213	6.49258089333507	0.744364277299656	0.388266421079132	0.981062390639285
68897	0.0877491874289519	3.11542729166891	0.744185239074598	0.388323486362142	0.981062390639285
