	KOCTRL	WTCTRL	logFC	logCPM	F	PValue	FDR
12326	9871.28053775679	10139.9270382368	-0.0336436890756088	8.14285660468116	1.30699040916919	0.259418061241265	0.846873786073203
245368	38.173183781794	42.9772662204962	-0.146299803270259	0.381597345083985	1.30675173564316	0.259460906149048	0.846873786073203
22381	1535.09664619283	1481.60696404361	0.0529963204559525	5.40857836104666	1.30743184362117	0.259598160336436	0.846873786073203
72117	2531.41100511807	2656.71836771981	-0.0421253596575623	6.24542361899403	1.30590793256309	0.259612451538469	0.846873786073203
381067	37.0107499828361	40.1397740461884	-0.153341176205498	0.160907035112066	1.30584371756885	0.259623989030849	0.846873786073203
100861936	38.2431956453319	45.1707358326879	-0.140931166472902	0.179586825998496	1.3054972089751	0.259686257389969	0.846873786073203
50773	993.64058161651	1049.99006947539	-0.0520242817904486	4.83052656832017	1.30535596273877	0.259711645094813	0.846873786073203
23827	1553.52181896268	1515.20384857347	0.0268463752605607	5.53506168579568	1.30489801916904	0.259793977909635	0.846873786073203
619547	1224.26541201304	1267.22977147477	-0.0468461367628238	5.16861022106009	1.30443421131488	0.259877398865954	0.846873786073203
214444	380.112102881947	385.659902044735	-0.0843775898008004	3.34419773782839	1.30612986776805	0.259893738024473	0.846873786073203
226169	1132.28080742957	1140.29184604973	-0.045187302258949	4.93896084254935	1.30404954417021	0.259946611320783	0.846873786073203
632687	129.592873134164	136.124511952744	-0.0903877841154879	1.74188776254789	1.30403265019591	0.259949651559668	0.846873786073203
403187	1169.29250057222	1120.915681396	0.0391161060297929	5.04524143220014	1.3038750870902	0.259978008785853	0.846873786073203
14528	37.9356080646683	39.8531299859367	-0.169499104957003	0.3676382945491	1.30245667049917	0.260233463681067	0.846873786073203
77739	282.946919013269	288.464744585698	-0.0792634639330293	2.81874177054106	1.30170694420548	0.260368617279332	0.846873786073203
20525	1835.0840964757	1895.60330490603	-0.10246851662875	6.16486891512872	1.31122772971997	0.260470767810467	0.846873786073203
117198	6054.904358358	6086.74989531218	-0.0314473367647908	7.54220207572213	1.30098657943654	0.260498561943821	0.846873786073203
66172	236.806391178272	229.38968747875	0.0594303511061028	2.70814524951911	1.30095570014742	0.260504134018849	0.846873786073203
227700	7165.21197757763	7326.08907395753	-0.0278932151943725	7.58879328675758	1.30016420031073	0.260647009535906	0.846873786073203
20927	1897.92052273191	1802.03474230727	0.0711838586233429	5.51525536206416	1.30618420760698	0.260686544576016	0.846873786073203
217012	49.3077718056251	50.844211103358	-0.116875680158886	0.537152416160352	1.29993307125993	0.260688749988925	0.846873786073203
99586	127.682485911554	120.563130021775	0.0829041521822363	1.83181378837453	1.29991528133606	0.260691963089643	0.846873786073203
26432	291.473082050937	274.605138168005	0.0629861944723606	2.89452297262735	1.29962066346205	0.260745182385203	0.846873786073203
64704	716.716114748078	704.169361096135	0.0407241778914585	4.20149664137032	1.29957673550469	0.260753118644013	0.846873786073203
101685	804.202431704626	763.535276863732	0.0469821451709921	4.50928779033789	1.2994391352628	0.260777980225394	0.846873786073203
26431	1459.68515660184	1393.43305423953	0.0352952844267223	5.29763548620265	1.2990754418425	0.260843706790486	0.846873786073203
26425	437.430521150481	445.134270775094	-0.0588242892980213	3.65513362816088	1.29895107741532	0.260866186726801	0.846873786073203
11990	9840.07852266325	10040.4544465751	-0.0371746809109678	8.13946445118638	1.29810535567749	0.26101912356422	0.846873786073203
57443	2583.27412439599	2616.51067895301	-0.024257292316785	6.27570232517968	1.29755337250532	0.261119003452387	0.846873786073203
