	GeneID	Chr	Symbol	NExons	P.Value	FDR
85951	66416	17	Ndufa7	4	0.969270748573594	1
33487	16859	11	Lgals9	11	0.969272223188792	1
138330	230484	4	Usp1	9	0.969280257499431	1
25180	279766	11	Rhbdd3	9	0.969284150554831	1
120818	54401	2	Ywhab	6	0.969334802338582	1
42826	217449	12	Trappc12	13	0.969360570987533	1
149913	17122	5	Mxd4	6	0.969366548529321	1
90074	72900	17	Ndufv2	8	0.969374953780866	1
101799	72514	19	Fgfbp3	2	0.969379021460131	1
161670	73288	6	Vps50	28	0.969402533785518	1
106382	99152	2	Anapc2	13	0.969475514498464	1
150500	64293	5	Stk32b	12	0.96948357826186	1
73957	20273	15	Scn8a	27	0.96949875671111	1
17274	53374	10	Chst3	4	0.96950986753321	1
175865	26362	7	Axl	20	0.969527511697123	1
196363	270086	8	Ogfod1	13	0.969527549481116	1
205767	18746	9	Pkm	12	0.969548989332505	1
39957	217333	11	Trim47	6	0.969559384749169	1
35801	78473	11	Skap1	13	0.969570227427783	1
63441	19229	14	Ptk2b	31	0.969570262980292	1
83736	30957	17	Mapk8ip3	33	0.969579621412581	1
3805	23792	1	Adam23	26	0.969588390333409	1
8879	72017	1	Cyb5r1	9	0.969595922865964	1
17672	19073	10	Srgn	3	0.969597036484144	1
35553	18604	11	Pdk2	11	0.969631260499154	1
40251	74319	11	Mettl23	5	0.969655214670126	1
179934	246694	7	Hps5	23	0.969672018973922	1
38117	11841	11	Arf2	5	0.96971945835796	1
197390	277973	8	Slc9a5	16	0.969730124584584	1
58162	66121	14	Chchd1	3	0.969750441939749	1
88268	106565	17	Dlk2	6	0.969758147881187	1
114277	68201	2	Ccdc34	6	0.969761027959304	1
143382	66193	4	Pithd1	6	0.969778182976296	1
195075	320795	8	Pkn1	23	0.969778515480687	1
20095	50492	10	Thop1	13	0.969827209606699	1
140235	74464	4	Zswim5	14	0.969841782840327	1
65923	67515	15	Ttc33	5	0.969848984456484	1
66789	448987	15	Fbxl7	4	0.969850813737341	1
126892	83409	3	Lamtor2	4	0.969901508629474	1
13376	71678	1	Brox	14	0.969912986841698	1
64048	13829	14	Dmtn	19	0.969928031794847	1
155260	75560	5	Ep400	52	0.969935829426123	1
43978	100503822	12	LOC100503822	2	0.969948043001047	1
73792	11908	15	Atf1	7	0.96996743997929	1
149950	19822	5	Rnf4	8	0.969975268065666	1
160436	19353	5	Rac1	6	0.969982904335827	1
181400	19771	7	Rlbp1	9	0.969983987676768	1
151877	100978	5	Nfxl1	23	0.969987821389377	1
199972	102162	8	Taf5l	5	0.970006588918608	1
46251	238323	12	Rps6kl1	11	0.970047867574047	1
108751	56017	2	Slc2a8	10	0.970052067504259	1
11503	226594	1	Rcsd1	7	0.970084023419323	1
167028	623273	6	Alms1-ps2	8	0.97011010024118	1
62206	104110	14	Adcy4	26	0.970150052286449	1
45917	19164	12	Psen1	12	0.970152270503589	1
37274	54409	11	Ramp2	4	0.970156664226449	1
71933	223770	15	Brd1	13	0.970179460981138	1
29976	216831	11	Arhgap44	21	0.970209387295918	1
181331	76375	7	Det1	5	0.970234990948039	1
157789	75695	5	Rilpl1	7	0.970257774675476	1
134460	30046	4	Zfp292	8	0.970276715835713	1
122933	21400	2	Tcea2	10	0.970313800938686	1
19257	237397	10	C2cd4c	2	0.970326633068496	1
167539	66098	6	Chchd6	8	0.970338071155771	1
34359	448850	11	Znhit3	5	0.970342671977227	1
177056	233058	7	Zfp420	4	0.970359399716277	1
29296	216810	11	Tom1l2	15	0.970380883891559	1
57968	14702	14	Gng2	4	0.970444463710666	1
15387	14051	10	Eya4	19	0.970445919442731	1
211175	66658	9	Ccdc51	4	0.970482357794014	1
110158	11477	2	Acvr1	13	0.970507603958728	1
40192	114886	11	Cygb	4	0.970542533167123	1
185742	67003	7	Uqcrc2	14	0.970579698717049	1
123830	241919	3	Slc7a14	8	0.970590814629419	1
3735	227195	1	Ino80d	12	0.970648659096563	1
7860	66942	1	Ddx18	13	0.970649840578273	1
152555	12617	5	Cenpc1	19	0.970669155887799	1
46779	20338	12	Sel1l	21	0.970686039615284	1
105873	208967	2	Thnsl1	3	0.970692901719726	1
16870	94221	10	Gopc	9	0.970713757211931	1
167769	72170	6	Chchd4	3	0.970728110192064	1
149076	83762	5	Otof	48	0.970734178570857	1
209935	77305	9	Wdr82	9	0.970736626685246	1
213086	29806	9	Limd1	8	0.970737824887847	1
142648	11983	4	Atpif1	3	0.970799830790485	1
99131	108101	19	Fermt3	15	0.970801593867438	1
43826	27386	12	Npas3	12	0.970808210642127	1
138300	12695	4	Patj	45	0.97081700599287	1
88334	106763	17	Ttbk1	15	0.970862350163029	1
2191	22592	1	Ercc5	15	0.970901197697098	1
116370	22785	2	Slc30a4	7	0.970924969172759	1
28708	14799	11	Gria1	18	0.970966101030114	1
136920	71354	4	Wdr31	11	0.971021024006661	1
66297	320506	15	Lmbrd2	18	0.971051586462968	1
193731	19704	8	Upf1	24	0.971139647585005	1
20584	58250	10	Chst11	3	0.971187334266416	1
112609	228139	2	P2rx3	12	0.971217167951655	1
153082	81702	5	Ankrd17	34	0.971218519954978	1
66995	67434	15	Ankrd33b	5	0.971222466287019	1
196776	14894	8	Cfap20	6	0.971227276437168	1
56955	673151	13	Gm20784	2	0.971260864860399	1
204641	14148	9	Fdx1	4	0.971285482793891	1
47274	27277	12	Golga5	14	0.971369763199304	1
214980	77644	X	C330007P06Rik	7	0.971393314883847	1
155575	52850	5	Sgsm1	26	0.971394114103487	1
181865	29875	7	Iqgap1	38	0.971400985450045	1
174793	319197	7	Gpr4	2	0.971409858775133	1
154999	107999	5	Gtpbp6	10	0.971430431984326	1
91587	213760	17	Prepl	15	0.971432082632331	1
42556	54451	12	Cpsf3	18	0.971440479904698	1
136006	68016	4	Cavin4	2	0.971501028538453	1
51342	68021	13	Bphl	7	0.971521682197153	1
5853	26895	1	Cops7b	7	0.971536728230923	1
199447	68718	8	Rnf166	6	0.971561514573303	1
179082	20130	7	Rras	6	0.971564036026117	1
88873	76441	17	Daam2	26	0.971587441086036	1
203790	213827	9	Arcn1	10	0.971603127425008	1
205383	71742	9	Ulk3	16	0.971626181973501	1
162182	12389	6	Cav1	3	0.971635953782397	1
118365	228714	2	Kat14	11	0.97165910108409	1
77762	320213	16	Senp5	10	0.971660417808717	1
94057	225372	18	Apbb3	13	0.97167757465226	1
17368	74048	10	Vsir	7	0.971682407081657	1
34324	217039	11	Ggnbp2	14	0.971684510183544	1
151612	22223	5	Uchl1	9	0.971688434325459	1
188704	68267	7	Slc25a22	11	0.971697883716056	1
62910	16648	14	Kpna3	17	0.971716582141624	1
28822	16145	11	Igtp	3	0.971723440167441	1
168756	67767	6	Jagn1	2	0.971737649528674	1
142029	15444	4	Hpca	5	0.971743310362928	1
117321	19261	2	Sirpa	9	0.971760139683388	1
117012	17153	2	Mal	4	0.971763470409134	1
199313	76454	8	Fbxo31	9	0.971778237164218	1
129214	11928	3	Atp1a1	23	0.971797106640888	1
94469	56736	18	Rnf14	11	0.971806144354388	1
