	GeneID	Chr	Symbol	NExons	P.Value	FDR
149941	100862066	5	Cfap99	15	0.824464628454868	1
60419	67089	14	Psmc6	14	0.82449840954275	1
188689	213350	7	Gatd1	8	0.824612283869253	1
172416	67636	6	Etfrf1	3	0.824625358137283	1
82467	381062	17	Ermard	18	0.824639080134839	1
109361	19177	2	Psmb7	8	0.824642844517657	1
41192	68671	11	Pcyt2	14	0.824731748055213	1
146623	66077	4	Aurkaip1	4	0.824825091323351	1
94240	24074	18	Taf7	2	0.824907969014523	1
53275	78689	13	Naa35	23	0.824957498457628	1
127156	14466	3	Gba	12	0.825018989970135	1
157165	68948	5	Fam216a	7	0.825346476031667	1
102800	100502913	19	Gm16244	2	0.825414598576489	1
33580	18015	11	Nf1	58	0.825451028227423	1
151756	231279	5	Guf1	17	0.825515532599246	1
148603	231050	5	Galnt11	12	0.825527625044087	1
61858	319984	14	Jph4	6	0.825599579454663	1
165898	232078	6	Thnsl2	10	0.825602304520007	1
162984	72649	6	Tmem209	15	0.82564969327715	1
163444	19242	6	Ptn	5	0.825673024876134	1
23535	216440	10	Os9	15	0.825678835986937	1
186478	56347	7	Eif3c	21	0.825764738625888	1
133201	68151	3	Wls	13	0.825853543015899	1
52585	28126	13	Nop16	5	0.825902550343477	1
113671	56348	2	Hsd17b12	11	0.826016499650266	1
93817	15526	18	Hspa9	17	0.826119313220629	1
97932	381196	19	Gm960	15	0.826145741508025	1
214299	236732	X	Rbm10	24	0.826202784118773	1
160264	243328	5	Slc29a4	11	0.826279952734643	1
202559	23871	9	Ets1	8	0.826381457962382	1
185485	233802	7	Thumpd1	4	0.826597693077258	1
52544	15466	13	Hrh2	3	0.826603120890739	1
88168	75564	17	Rsph9	5	0.826804325997474	1
73459	22146	15	Tuba1c	4	0.827111049729182	1
72409	58234	15	Shank3	22	0.827214325371538	1
124709	56458	3	Foxo1	3	0.827302453874065	1
117442	75656	2	1700020A23Rik	3	0.827435801232297	1
115801	22222	2	Ubr1	47	0.827446861790558	1
43687	94186	12	Strn3	18	0.827456242499896	1
166473	20355	6	Sema4f	14	0.827465697594504	1
54704	320174	13	A830082K12Rik	3	0.827585397849131	1
184137	14356	7	Timm10b	3	0.82763154061117	1
15839	69692	10	Hddc2	6	0.827875035170421	1
197770	192654	8	Pla2g15	6	0.827906759549888	1
70184	56551	15	Txn2	4	0.827911928839046	1
168341	53870	6	Cntn6	23	0.827947084908913	1
133982	77032	4	Tstd3	4	0.82796665472505	1
218552	70887	X	Dmrtc1a	7	0.827986481734186	1
105870	71233	2	Enkur	5	0.827988659137169	1
39368	72014	11	Btbd17	3	0.828024475927981	1
35119	20913	11	Stxbp4	18	0.828108831812462	1
151782	14395	5	Gabra2	10	0.828248215495103	1
141491	230738	4	Zc3h12a	6	0.828290012272959	1
135576	269529	4	Fbxo10	11	0.828335627760776	1
133113	69207	3	Srsf11	13	0.828348867291374	1
21720	13998	10	Fgd6	21	0.828351135577071	1
219706	237052	X	Tceal1	2	0.828394754966481	1
209287	17973	9	Nck1	4	0.828468465537373	1
138682	242584	4	Wdr78	17	0.828600479567349	1
25860	12808	11	Cobl	15	0.828607334160223	1
145696	70556	4	Slc25a33	7	0.828663202372007	1
95336	73137	18	Prrc1	9	0.828745540745049	1
193502	67184	8	Ndufa13	5	0.828761520991893	1
186301	269994	7	Gsg1l	7	0.828958230564908	1
23078	74053	10	Grip1	26	0.828958476866741	1
22068	67569	10	Mgat4c	11	0.828974465052459	1
144614	74202	4	Fblim1	10	0.829014484737222	1
146284	70673	4	Prdm16	17	0.82902820246721	1
107601	68975	2	Med27	8	0.829103432924258	1
197259	234678	8	D230025D16Rik	16	0.829141963290152	1
91930	77022	17	2700099C18Rik	10	0.829175962985953	1
102065	56839	19	Lgi1	8	0.829205630923059	1
71946	223774	15	Alg12	10	0.829267501139709	1
64737	18530	14	Pcdh8	3	0.82931713656048	1
142677	14050	4	Eya3	18	0.829539707801525	1
22044	68281	10	4930430F08Rik	7	0.82955870266572	1
29247	19416	11	Rasd1	2	0.829586491917508	1
84178	214951	17	Rhbdl1	8	0.829669498724275	1
156085	75387	5	Sirt4	6	0.829745887380065	1
169832	24110	6	Usp18	11	0.829762703908249	1
88511	224824	17	Pex6	17	0.829816984809422	1
86227	16912	17	Psmb9	6	0.829867660923753	1
219766	66995	X	Zcchc18	2	0.829878664057517	1
194008	76808	8	Rpl18a	5	0.82991012928158	1
202201	76898	9	B3gat1	5	0.829979389946238	1
143980	17965	4	Nbl1	4	0.830036320412975	1
26915	14172	11	Fgf18	5	0.830071082851519	1
111063	228005	2	Ppig	14	0.830075072470609	1
191244	109145	8	Gins4	8	0.830160900414108	1
99223	108899	19	2700081O15Rik	5	0.830200392041028	1
135765	22590	4	Xpa	6	0.83020313930926	1
9054	171469	1	Gpr37l1	2	0.830236127695897	1
216779	102857	X	Slc6a8	13	0.830266473367447	1
80803	100038392	16	Gm10785	6	0.830407491040268	1
197913	20650	8	Sntb2	7	0.830433249442833	1
40021	69535	11	Ten1	4	0.830440278150817	1
165258	66373	6	Lsm5	5	0.830464528677827	1
117989	18795	2	Plcb1	33	0.830511421435109	1
13612	21808	1	Tgfb2	7	0.830600994116094	1
82609	66643	17	Lix1	6	0.830627143429297	1
61688	12050	14	Bcl2l2	4	0.830660180440318	1
22373	20979	10	Syt1	12	0.830713306597014	1
214071	22284	X	Usp9x	45	0.830719687429405	1
151772	14405	5	Gabrg1	9	0.830760760587844	1
59353	218877	14	Sema3g	16	0.830945416254604	1
137914	230393	4	Focad	44	0.830953052807422	1
214379	11836	X	Araf	16	0.831085243963278	1
101099	22359	19	Vldlr	19	0.831100320944345	1
208439	244962	9	Snx14	28	0.831114236870563	1
122344	269397	2	Ss18l1	11	0.83118617749334	1
86256	21355	17	Tap2	12	0.831196672665511	1
218846	58861	X	Cysltr1	4	0.83137470428657	1
71554	29859	15	Sult4a1	7	0.831466155889958	1
151477	22235	5	Ugdh	12	0.831484924601341	1
148837	381626	5	Rbm33	19	0.831514836128915	1
146733	20318	4	Sdf4	7	0.831522928978569	1
23930	432516	10	Myo1a	27	0.831621312781236	1
157418	269701	5	Wdr66	23	0.831626975876425	1
213469	54630	X	Prickle3	8	0.831662770979845	1
71956	76737	15	Creld2	10	0.831857206914313	1
57895	21834	14	Thrb	11	0.831945443591191	1
178271	668572	7	2610021A01Rik	7	0.831993296067503	1
212213	100502695	9	Gm17399	2	0.832056613240741	1
64940	66200	14	Commd6	4	0.832084245630495	1
56704	17993	13	Ndufs4	5	0.832091676174428	1
89623	66400	17	Alkbh7	4	0.832099704906641	1
213643	20937	X	Suv39h1	6	0.832147043452883	1
62971	629059	14	Fam124a	4	0.832226080565191	1
5973	26987	1	Eif4e2	8	0.832251443049853	1
125472	56706	3	Ccnl1	11	0.832305126192401	1
46251	238323	12	Rps6kl1	11	0.832344275857317	1
209205	17532	9	Mras	6	0.832465914698337	1
76447	94223	16	Dgcr8	14	0.832492963776417	1
162599	74375	6	Gcc1	2	0.832597616883472	1
11509	433375	1	Creg1	4	0.832618686932805	1
118368	668917	2	Zfp133-ps	3	0.832833785748171	1
143104	16765	4	Stmn1	5	0.832973754785944	1
32559	319822	11	Smyd4	11	0.833002482324021	1
213045	21922	9	Clec3b	3	0.833069007882291	1
172966	77582	7	Mboat7	8	0.833105530206455	1
36189	12295	11	Cacnb1	16	0.83311354391809	1
128727	67845	3	Rnf115	9	0.833216137288523	1
23457	11567	10	Avil	20	0.833363378904956	1
29875	192651	11	Zfp286	6	0.833450261993456	1
21640	237465	10	Ccdc38	16	0.833475946388613	1
117012	17153	2	Mal	4	0.833643584324583	1
206533	18247	9	Oaz2	6	0.833647903175783	1
25929	380686	11	Cnrip1	3	0.833661173118562	1
177249	11803	7	Aplp1	17	0.833700216296649	1
221486	68854	X	Asb11	7	0.833715846246511	1
187059	27973	7	Vkorc1	3	0.833730611598388	1
93468	402767	18	A830052D11Rik	3	0.833792267301909	1
133707	208820	4	Triqk	5	0.833801564546307	1
24250	69917	10	Nabp2	7	0.833852401101238	1
71262	69029	15	Smdt1	3	0.833855638689082	1
59590	218885	14	Oxnad1	8	0.83391156939273	1
31657	18643	11	Pfn1	3	0.833924779932229	1
109380	14536	2	Nr6a1	12	0.834053423457632	1
205892	67557	9	Larp6	3	0.834072296748097	1
32433	67493	11	Mettl16	10	0.834083439212677	1
167136	72012	6	1600020E01Rik	5	0.834124582874557	1
144462	213491	4	Szrd1	4	0.834151019976778	1
142848	69539	4	Trnp1	2	0.834206631820002	1
170427	13807	6	Eno2	12	0.834265209532386	1
64846	13134	14	Dach1	12	0.834287552216377	1
151674	666938	5	Bend4	5	0.834320607941879	1
97081	66943	18	Pqlc1	7	0.834368514759491	1
84139	70083	17	Metrn	4	0.834415866678154	1
112334	50884	2	Nckap1	31	0.834432402549575	1
166678	78653	6	Bola3	4	0.834434375213153	1
114499	73024	2	Emc7	5	0.834492476421866	1
121690	22722	2	Zfp64	6	0.834538090776965	1
28045	15384	11	Hnrnpab	8	0.834651672069222	1
143837	15441	4	Hp1bp3	14	0.834721370361704	1
96995	100502841	18	Epg5	44	0.834788607807361	1
4397	381270	1	March4	4	0.834804738107781	1
79485	208650	16	Cblb	18	0.834818549669933	1
135910	12819	4	Col15a1	40	0.834838908594374	1
58459	218832	14	Polr3a	31	0.834881972889445	1
145929	74035	4	Nol9	13	0.834986253162403	1
28676	27041	11	G3bp1	12	0.835047655298614	1
142251	622480	4	Spocd1	15	0.835137010801708	1
108004	110854	2	Ptpa	10	0.835140813536079	1
206740	68318	9	Aph1c	6	0.835143835201432	1
