	GeneID	Chr	Symbol	NExons	P.Value	FDR
21769	77048	10	Cep83	16	0.0721936135208531	1
155364	269683	5	E130006D01Rik	5	0.0722176709655139	1
93927	72512	18	Tmem173	8	0.0726044597960363	1
6426	12835	1	Col6a3	44	0.0726480512289265	1
36880	16480	11	Jup	14	0.0726828045034762	1
161341	140498	5	Rxfp2	18	0.0726974987190184	1
53710	218294	13	Cdc14b	15	0.0727804780240912	1
122845	72147	2	Zbtb46	5	0.0733476998421212	1
181822	70461	7	Crtc3	15	0.0733856918379356	1
92945	67664	18	Rnf125	6	0.0734013231241017	1
45281	210762	12	Ppp1r36	11	0.073405562158201	1
24396	211389	10	Suox	4	0.0734591992072104	1
89903	13640	17	Efna5	5	0.0735132194348088	1
29174	216799	11	Nlrp3	10	0.0741316133745367	1
165034	69993	6	Chn2	13	0.0742188847299666	1
62111	105446	14	Gmpr2	10	0.0744915109322315	1
168866	22346	6	Vhl	3	0.074503692322646	1
105213	209378	2	Itih5	14	0.0745487719623587	1
82850	381066	17	Zfp948	6	0.0745901176212875	1
47382	170952	12	Prima1	5	0.0746341397728163	1
73029	223864	15	Rapgef3	28	0.0747691701857547	1
14313	381990	10	Zbtb2	3	0.0747839333138418	1
61664	75913	14	4930579G18Rik	6	0.0748052545165778	1
177353	333193	7	Proser3	12	0.0748597068069323	1
195777	102093	8	Phkb	32	0.0749437574406357	1
89566	19725	17	Rfx2	18	0.0750916264043922	1
81744	380608	17	Tagap1	4	0.075260931451054	1
38462	56095	11	Ftsj3	21	0.075331995211607	1
122526	108115	2	Slco4a1	12	0.0754201215768679	1
36036	100141474	11	4933428G20Rik	3	0.0754772102418819	1
158106	208213	5	Tmem132c	9	0.0756323011144378	1
176545	101744	7	Acp7	13	0.0757472562677969	1
220345	210297	X	Lrch2	21	0.0757756749646047	1
204338	26951	9	Zw10	16	0.0758649019304081	1
186972	12055	7	Bcl7c	6	0.0761712778055736	1
155027	100504007	5	Gm15787	4	0.0761827185659777	1
119064	84682	2	Cox4i2	5	0.0779325059559558	1
3618	269198	1	Nbeal1	55	0.0781068873526064	1
140906	16656	4	Hivep3	9	0.0781419735122653	1
202711	76832	9	Hyls1	4	0.0783928662408427	1
30199	17882	11	Myh2	40	0.0788328764179131	1
105114	98910	2	Usp6nl	16	0.0797851660997608	1
152346	381644	5	Cep135	25	0.0802822920997303	1
13612	21808	1	Tgfb2	7	0.0805215446481436	1
218596	70252	X	Jpx	3	0.0805775161280778	1
189443	101772	7	Ano1	26	0.0807184715562237	1
2486	100101919	1	Dnah7c	67	0.0818102086261963	1
26046	67245	11	Peli1	7	0.0823064124432815	1
177915	12611	7	Cebpg	2	0.0823368178459151	1
111749	99031	2	Osbpl6	27	0.0827647381752963	1
88631	107477	17	Guca1b	4	0.0830603758457208	1
117267	20515	2	Slc20a1	12	0.08333192004455	1
179249	12493	7	Cd37	8	0.0833779827551747	1
100316	107321	19	Lpxn	9	0.084440299142599	1
28574	11749	11	Anxa6	26	0.0846515718556565	1
109655	109241	2	Mbd5	17	0.0847050436128216	1
30089	380702	11	Shisa6	5	0.0847212237952676	1
184531	56788	7	Scube2	22	0.0850710017345732	1
156275	68955	5	Srrm4	13	0.0850965128376209	1
30015	52712	11	Zkscan6	8	0.0851161984822565	1
165100	387524	6	Znrf2	5	0.0851474845695085	1
161790	170676	6	Peg10	2	0.0851640882982771	1
86091	14979	17	H2-Ke6	9	0.0855053136335762	1
146591	70448	4	Atad3aos	3	0.0855491765502256	1
202509	12023	9	Barx2	4	0.0859265410465566	1
122007	57314	2	Nelfcd	15	0.0862617692342442	1
192783	76294	8	Asb5	7	0.0864046881452908	1
174993	19698	7	Relb	12	0.0864069772515397	1
30842	78304	11	Naa38	3	0.0864070523368093	1
37824	14615	11	Gjc1	5	0.0865059882863784	1
48672	100047183	12	NA	11	0.0865581534366965	1
90823	12211	17	Birc6	73	0.0868869482375645	1
107308	20181	2	Rxra	10	0.087188827100663	1
20428	114606	10	Tle6	14	0.0876515266997054	1
36510	68524	11	Wipf2	8	0.0884277689592375	1
